tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
24,151,0.3394378771783107,31.04635761589404,31.0,1.7880794701986755,6.311258278145695,2464.0
25,150,0.33869616153263044,32.24666666666667,33.0,1.78,6.3,2448.0
26,148,0.3326843332373194,33.601351351351354,35.0,1.7635135135135136,6.351351351351352,2451.0
27,147,0.33004435400748766,34.795918367346935,35.0,1.7551020408163265,6.340136054421769,2462.0
28,146,0.3273868529576292,36.06164383561644,36.5,1.7465753424657535,6.342465753424658,2461.0
29,145,0.32545762582321697,37.33793103448276,37.0,1.7379310344827585,6.372413793103449,2458.0
30,144,0.3232000878980383,38.625,38.5,1.7291666666666667,6.375,2462.0
31,144,0.32555472869121965,39.65972222222222,39.5,1.7291666666666667,6.375,2466.0
32,144,0.3271289970585445,40.65972222222222,41.0,1.7291666666666667,6.375,2475.0
33,144,0.32822409903663025,41.729166666666664,42.0,1.7291666666666667,6.375,2477.0
34,144,0.32988873554509207,42.770833333333336,43.0,1.7291666666666667,6.375,2472.0
35,144,0.33110869182721914,43.854166666666664,44.0,1.7291666666666667,6.375,2468.0
36,143,0.3281475565598128,45.18881118881119,45.0,1.7202797202797202,6.3776223776223775,2468.0
37,142,0.3248821319993779,46.556338028169016,46.0,1.7112676056338028,6.373239436619718,2469.0
38,141,0.3211482767238537,47.90070921985816,47.0,1.702127659574468,6.397163120567376,2481.0
39,141,0.32122245056175625,49.04964539007092,48.0,1.702127659574468,6.397163120567376,2479.0
40,141,0.32196094477070697,50.156028368794324,49.0,1.702127659574468,6.397163120567376,2473.0
41,141,0.3225914746374144,51.241134751773046,50.0,1.702127659574468,6.397163120567376,2477.0
42,141,0.3235679879621916,52.347517730496456,51.0,1.702127659574468,6.397163120567376,2484.0
43,141,0.3241852341949118,53.4822695035461,52.0,1.702127659574468,6.397163120567376,2476.0
44,141,0.3254112064299158,54.54609929078014,52.0,1.702127659574468,6.397163120567376,2476.0
45,141,0.3260549023862152,55.638297872340424,53.0,1.702127659574468,6.397163120567376,2477.0
46,141,0.3267890755848027,56.730496453900706,54.0,1.702127659574468,6.397163120567376,2480.0
47,141,0.3268622349341886,57.822695035460995,56.0,1.702127659574468,6.397163120567376,2478.0
48,141,0.32771437277701954,58.9290780141844,56.0,1.702127659574468,6.397163120567376,2477.0
49,141,0.3288678128839652,60.01418439716312,57.0,1.702127659574468,6.397163120567376,2480.0
50,141,0.3287637195372793,61.13475177304964,58.0,1.702127659574468,6.397163120567376,2478.0
51,140,0.3246292226292226,62.67857142857143,59.0,1.6928571428571428,6.4071428571428575,2478.0
52,140,0.3252838274329208,63.81428571428572,60.0,1.6928571428571428,6.4071428571428575,2478.0
53,140,0.32571538570328584,64.93571428571428,61.0,1.6928571428571428,6.4071428571428575,2479.0
54,140,0.32590415424307495,66.05,62.0,1.6928571428571428,6.4071428571428575,2486.0
55,140,0.3264076166180758,67.2,63.0,1.6928571428571428,6.4071428571428575,2484.0
56,140,0.3262680997163756,68.35714285714286,64.0,1.6928571428571428,6.4071428571428575,2483.0
57,140,0.3266231096755249,69.5,65.0,1.6928571428571428,6.4071428571428575,2486.0
58,139,0.3220257363371184,71.15107913669065,66.0,1.683453237410072,6.438848920863309,2481.0
59,139,0.32229986734067817,72.29496402877697,67.0,1.683453237410072,6.438848920863309,2481.0
60,139,0.3230710863577321,73.39568345323741,68.0,1.683453237410072,6.438848920863309,2485.0
61,139,0.3232438947510203,74.54676258992805,70.0,1.683453237410072,6.438848920863309,2485.0
62,139,0.3235714734939528,75.71223021582733,71.0,1.683453237410072,6.438848920863309,2481.0
63,139,0.3241844141771633,76.80575539568345,72.0,1.683453237410072,6.438848920863309,2487.0
64,138,0.31989813733399153,78.5,73.0,1.673913043478261,6.427536231884058,2482.0
65,138,0.3202088781798927,79.6304347826087,74.0,1.673913043478261,6.427536231884058,2483.0
66,138,0.3207191255466633,80.78260869565217,75.0,1.673913043478261,6.427536231884058,2483.0
67,138,0.3214180381053501,81.89855072463769,76.0,1.673913043478261,6.427536231884058,2486.0
68,138,0.3217008085537474,83.03623188405797,77.0,1.673913043478261,6.427536231884058,2490.0
69,138,0.3221896196603429,84.18115942028986,78.0,1.673913043478261,6.427536231884058,2493.0
70,138,0.32261332387993197,85.31884057971014,79.0,1.673913043478261,6.427536231884058,2490.0
71,138,0.323092435341424,86.44927536231884,80.0,1.673913043478261,6.427536231884058,2491.0
72,138,0.32352920015253006,87.57971014492753,81.0,1.673913043478261,6.427536231884058,2493.0
73,138,0.32388043093539404,88.71739130434783,82.0,1.673913043478261,6.427536231884058,2493.0
74,138,0.32431495761112106,89.84782608695652,83.0,1.673913043478261,6.427536231884058,2493.0
75,138,0.3246623860285884,90.97101449275362,84.0,1.673913043478261,6.427536231884058,2493.0
76,138,0.32496607715025255,92.10144927536231,85.0,1.673913043478261,6.427536231884058,2494.0
77,138,0.32511821968698534,93.23188405797102,86.0,1.673913043478261,6.427536231884058,2491.0
78,138,0.32521676815155076,94.3768115942029,87.0,1.673913043478261,6.427536231884058,2491.0
79,137,0.3205091442926085,96.24817518248175,88.0,1.6642335766423357,6.423357664233577,2488.0
80,137,0.32063521751518564,97.42335766423358,90.0,1.6642335766423357,6.423357664233577,2492.0
81,137,0.32088036568770195,98.58394160583941,91.0,1.6642335766423357,6.423357664233577,2496.0
82,137,0.3212672220741634,99.75912408759125,92.0,1.6642335766423357,6.423357664233577,2497.0
83,137,0.3213441889828952,100.93430656934306,93.0,1.6642335766423357,6.423357664233577,2497.0
84,137,0.32145799645498313,102.1094890510949,94.0,1.6642335766423357,6.423357664233577,2499.0
85,137,0.32156815411667794,103.2919708029197,95.0,1.6642335766423357,6.423357664233577,2499.0
86,137,0.32162893269085613,104.46715328467154,96.0,1.6642335766423357,6.423357664233577,2494.0
87,137,0.32170165620982827,105.60583941605839,97.0,1.6642335766423357,6.423357664233577,2496.0
88,137,0.3219463655603401,106.76642335766424,98.0,1.6642335766423357,6.423357664233577,2500.0
89,137,0.3218983037463664,107.95620437956204,99.0,1.6642335766423357,6.423357664233577,2495.0
90,137,0.3221473036642824,109.12408759124088,100.0,1.6642335766423357,6.423357664233577,2493.0
91,137,0.3224124503091126,110.27737226277372,101.0,1.6642335766423357,6.423357664233577,2491.0
92,137,0.3226699991777086,111.44525547445255,102.0,1.6642335766423357,6.423357664233577,2494.0
93,137,0.32276986198191177,112.61313868613139,103.0,1.6642335766423357,6.423357664233577,2493.0
94,137,0.32277589536401763,113.78102189781022,104.0,1.6642335766423357,6.423357664233577,2490.0
95,137,0.32285999726480197,114.92700729927007,105.0,1.6642335766423357,6.423357664233577,2496.0
96,137,0.3230510921372815,116.1094890510949,106.0,1.6642335766423357,6.423357664233577,2501.0
97,137,0.32301166075764726,117.32116788321167,107.0,1.6642335766423357,6.423357664233577,2497.0
98,137,0.3231688535698885,118.48905109489051,108.0,1.6642335766423357,6.423357664233577,2502.0
99,137,0.3231613046538244,119.68613138686132,109.0,1.6642335766423357,6.423357664233577,2496.0
100,137,0.3234087247310064,120.83211678832117,109.0,1.6642335766423357,6.423357664233577,2495.0
101,137,0.3236701406165566,121.96350364963503,110.0,1.6642335766423357,6.423357664233577,2495.0
102,136,0.31912305363321797,124.0,111.5,1.6544117647058822,6.419117647058823,2501.0
103,136,0.31933963893927614,125.18382352941177,112.5,1.6544117647058822,6.419117647058823,2502.0
104,136,0.31957118896438413,126.36029411764706,113.5,1.6544117647058822,6.419117647058823,2503.0
105,136,0.3198807081206654,127.53676470588235,115.0,1.6544117647058822,6.419117647058823,2507.0
106,136,0.3199409211397164,128.74264705882354,116.0,1.6544117647058822,6.419117647058823,2507.0
107,136,0.32021492956621306,129.94117647058823,117.0,1.6544117647058822,6.419117647058823,2502.0
108,136,0.32005972074244377,131.125,118.0,1.6544117647058822,6.419117647058823,2498.0
109,136,0.32029290789185444,132.28676470588235,119.0,1.6544117647058822,6.419117647058823,2497.0
110,136,0.3206368497812348,133.4558823529412,120.0,1.6544117647058822,6.419117647058823,2502.0
111,136,0.3208046281575693,134.6691176470588,121.0,1.6544117647058822,6.419117647058823,2504.0
112,136,0.3210664928416569,135.86029411764707,122.0,1.6544117647058822,6.419117647058823,2508.0
113,136,0.32123802642704796,137.08823529411765,123.0,1.6544117647058822,6.419117647058823,2503.0
114,136,0.32132395947691567,138.28676470588235,124.0,1.6544117647058822,6.419117647058823,2500.0
115,136,0.3212975596142516,139.48529411764707,125.0,1.6544117647058822,6.419117647058823,2498.0
116,136,0.32132080083379194,140.68382352941177,126.0,1.6544117647058822,6.419117647058823,2497.0
117,136,0.32161448409371524,141.875,127.0,1.6544117647058822,6.419117647058823,2498.0
118,136,0.3216022646529699,143.0514705882353,128.0,1.6544117647058822,6.419117647058823,2498.0
119,136,0.3217809607783156,144.22058823529412,129.0,1.6544117647058822,6.419117647058823,2498.0
120,136,0.3220088445027533,145.38970588235293,130.0,1.6544117647058822,6.419117647058823,2499.0
121,135,0.3173839770639048,147.65185185185186,131.0,1.6444444444444444,6.4148148148148145,2502.0
122,135,0.3175217219807645,148.84444444444443,132.0,1.6444444444444444,6.4148148148148145,2505.0
123,135,0.3177288778434288,150.0222222222222,133.0,1.6444444444444444,6.4148148148148145,2506.0
124,135,0.3178907106204774,151.2,134.0,1.6444444444444444,6.4148148148148145,2511.0
125,135,0.31817425592826665,152.37037037037038,136.0,1.6444444444444444,6.4148148148148145,2509.0
126,135,0.3183308761113345,153.5185185185185,137.0,1.6444444444444444,6.4148148148148145,2506.0
127,135,0.3184489987018238,154.6962962962963,138.0,1.6444444444444444,6.4148148148148145,2504.0
128,135,0.3185794167498297,155.8740740740741,139.0,1.6444444444444444,6.4148148148148145,2513.0
129,135,0.31864039797659144,157.11851851851853,140.0,1.6444444444444444,6.4148148148148145,2508.0
130,135,0.318661288534043,158.34074074074073,141.0,1.6444444444444444,6.4148148148148145,2507.0
131,135,0.3186949262990301,159.56296296296296,142.0,1.6444444444444444,6.4148148148148145,2508.0
132,135,0.3188178180484101,160.77777777777777,143.0,1.6444444444444444,6.4148148148148145,2511.0
133,135,0.31887483276600787,162.0,144.0,1.6444444444444444,6.4148148148148145,2507.0
134,135,0.319074301027004,163.1925925925926,145.0,1.6444444444444444,6.4148148148148145,2503.0
135,135,0.3193902335201294,164.34814814814814,146.0,1.6444444444444444,6.4148148148148145,2507.0
136,135,0.31964027036075726,165.52592592592592,147.0,1.6444444444444444,6.4148148148148145,2508.0
137,135,0.3198137453312931,166.74074074074073,148.0,1.6444444444444444,6.4148148148148145,2503.0
138,135,0.31998313824676977,167.9111111111111,149.0,1.6444444444444444,6.4148148148148145,2506.0
139,135,0.32021064824954615,169.1037037037037,150.0,1.6444444444444444,6.4148148148148145,2510.0
140,135,0.3203775402844442,170.27407407407406,151.0,1.6444444444444444,6.4148148148148145,2511.0
141,134,0.3151513745086436,172.7910447761194,152.5,1.6343283582089552,6.41044776119403,2505.0
142,134,0.31517232638539944,174.00746268656715,153.5,1.6343283582089552,6.41044776119403,2504.0
143,134,0.31515597211964197,175.23880597014926,154.5,1.6343283582089552,6.41044776119403,2507.0
144,134,0.3152028137884723,176.48507462686567,155.5,1.6343283582089552,6.41044776119403,2508.0
145,134,0.3152244697647278,177.7089552238806,156.5,1.6343283582089552,6.41044776119403,2511.0
146,134,0.3152898711745912,178.94776119402985,158.0,1.6343283582089552,6.41044776119403,2510.0
147,134,0.3153722317086591,180.16417910447763,159.5,1.6343283582089552,6.41044776119403,2505.0
148,134,0.3154644848344894,181.3582089552239,160.5,1.6343283582089552,6.41044776119403,2505.0
149,134,0.3155813329102647,182.53731343283582,161.5,1.6343283582089552,6.41044776119403,2510.0
150,134,0.31551814531403893,183.76865671641792,162.5,1.6343283582089552,6.41044776119403,2511.0
151,134,0.31555015339565484,185.01492537313433,163.5,1.6343283582089552,6.41044776119403,2507.0
152,134,0.3156628199415665,186.23134328358208,164.5,1.6343283582089552,6.41044776119403,2503.0
153,134,0.3156846570682464,187.4179104477612,165.5,1.6343283582089552,6.41044776119403,2510.0
154,134,0.31570724587364624,188.6417910447761,166.5,1.6343283582089552,6.41044776119403,2508.0
155,134,0.3157295209553084,189.84328358208955,167.5,1.6343283582089552,6.41044776119403,2507.0
156,134,0.31584828912436685,191.02238805970148,168.5,1.6343283582089552,6.41044776119403,2509.0
157,134,0.3160397778144803,192.20149253731344,169.5,1.6343283582089552,6.41044776119403,2511.0
158,134,0.31614366045985537,193.40298507462686,170.5,1.6343283582089552,6.41044776119403,2509.0
159,134,0.31624643864045066,194.61194029850745,172.0,1.6343283582089552,6.41044776119403,2511.0
160,134,0.3161987425576489,195.8134328358209,173.0,1.6343283582089552,6.41044776119403,2516.0
161,134,0.3161728754447795,197.05223880597015,173.5,1.6343283582089552,6.41044776119403,2514.0
162,134,0.3162625220779571,198.26865671641792,174.5,1.6343283582089552,6.41044776119403,2513.0
163,134,0.31630400187614116,199.47761194029852,176.0,1.6343283582089552,6.41044776119403,2513.0
164,134,0.3163677373951306,200.6865671641791,177.0,1.6343283582089552,6.41044776119403,2512.0
165,134,0.3164148762746975,201.90298507462686,178.0,1.6343283582089552,6.41044776119403,2510.0
166,134,0.3165259969762094,203.11194029850745,179.0,1.6343283582089552,6.41044776119403,2513.0
167,133,0.3114484531269738,205.86466165413535,180.0,1.6240601503759398,6.428571428571429,2511.0
168,133,0.3115000383570305,207.0751879699248,181.0,1.6240601503759398,6.428571428571429,2514.0
169,133,0.31162919210523604,208.28571428571428,182.0,1.6240601503759398,6.428571428571429,2513.0
170,133,0.3116594112610049,209.4812030075188,183.0,1.6240601503759398,6.428571428571429,2512.0
171,133,0.3117002657260612,210.66165413533835,184.0,1.6240601503759398,6.428571428571429,2515.0
172,133,0.3116859349622993,211.90977443609023,185.0,1.6240601503759398,6.428571428571429,2516.0
173,133,0.3116522921709409,213.1654135338346,186.0,1.6240601503759398,6.428571428571429,2512.0
174,133,0.31161078200551884,214.37593984962405,187.0,1.6240601503759398,6.428571428571429,2514.0
175,133,0.31176168720199693,215.58646616541353,188.0,1.6240601503759398,6.428571428571429,2518.0
176,133,0.31179947163237337,216.8345864661654,189.0,1.6240601503759398,6.428571428571429,2511.0
177,133,0.3119686242297239,218.0300751879699,190.0,1.6240601503759398,6.428571428571429,2511.0
178,133,0.31210280778785604,219.18796992481202,191.0,1.6240601503759398,6.428571428571429,2516.0
179,133,0.31214486696082433,220.38345864661653,192.0,1.6240601503759398,6.428571428571429,2518.0
180,133,0.3122151434566059,221.61654135338347,193.0,1.6240601503759398,6.428571428571429,2516.0
181,133,0.312251305818873,222.82706766917292,194.0,1.6240601503759398,6.428571428571429,2515.0
182,133,0.312378698045668,224.02255639097746,195.0,1.6240601503759398,6.428571428571429,2519.0
183,133,0.3124659129213025,225.2406015037594,196.0,1.6240601503759398,6.428571428571429,2518.0
184,133,0.31250226232935174,226.45864661654136,197.0,1.6240601503759398,6.428571428571429,2515.0
185,133,0.3125669192797052,227.66917293233084,198.0,1.6240601503759398,6.428571428571429,2516.0
186,133,0.3126007588202792,228.8796992481203,199.0,1.6240601503759398,6.428571428571429,2520.0
187,133,0.3124512801362989,230.11278195488723,200.0,1.6240601503759398,6.428571428571429,2516.0
188,133,0.3124522392535113,231.33082706766916,201.0,1.6240601503759398,6.428571428571429,2518.0
189,133,0.3123765898532825,232.5639097744361,202.0,1.6240601503759398,6.428571428571429,2518.0
190,133,0.3124061963882209,233.796992481203,203.0,1.6240601503759398,6.428571428571429,2518.0
191,133,0.31244078397150943,235.0300751879699,204.0,1.6240601503759398,6.428571428571429,2516.0
192,133,0.3125652519638104,236.24812030075188,205.0,1.6240601503759398,6.428571428571429,2516.0
193,133,0.3127225301783956,237.45112781954887,206.0,1.6240601503759398,6.428571428571429,2514.0
194,133,0.31273173481908934,238.64661654135338,207.0,1.6240601503759398,6.428571428571429,2514.0
195,133,0.3128323017644742,239.8421052631579,208.0,1.6240601503759398,6.428571428571429,2519.0
196,133,0.31297405788744387,241.0751879699248,210.0,1.6240601503759398,6.428571428571429,2521.0
197,133,0.3131234553613428,242.28571428571428,211.0,1.6240601503759398,6.428571428571429,2514.0
198,132,0.3080267707178314,245.3409090909091,212.0,1.6136363636363635,6.4393939393939394,2513.0
199,132,0.30810579060855575,246.57575757575756,213.0,1.6136363636363635,6.4393939393939394,2513.0
200,132,0.3082577031590944,247.7651515151515,214.0,1.6136363636363635,6.4393939393939394,2522.0
