tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
50,135,0.35234401691644274,59.422222222222224,61.0,1.762962962962963,4.118518518518519,2563.0
51,135,0.35406971463862097,60.41481481481482,62.0,1.762962962962963,4.118518518518519,2561.0
52,135,0.35509069291352663,61.37777777777778,63.0,1.762962962962963,4.118518518518519,2564.0
53,135,0.3566220532720889,62.355555555555554,64.0,1.762962962962963,4.118518518518519,2573.0
54,135,0.3581776773266135,63.36296296296296,64.0,1.762962962962963,4.118518518518519,2569.0
55,135,0.3593074368255674,64.34814814814816,65.0,1.762962962962963,4.118518518518519,2566.0
56,134,0.3557507082152975,65.85820895522389,66.5,1.7537313432835822,4.126865671641791,2566.0
57,133,0.3520794172932331,67.36842105263158,68.0,1.744360902255639,4.135338345864661,2575.0
58,132,0.34743541090349833,68.96212121212122,69.0,1.7348484848484849,4.128787878787879,2575.0
59,132,0.3481036422006014,70.00757575757575,70.0,1.7348484848484849,4.128787878787879,2573.0
60,132,0.3488515998112927,71.04545454545455,71.0,1.7348484848484849,4.128787878787879,2572.0
61,132,0.3498920137992986,72.06818181818181,72.0,1.7348484848484849,4.128787878787879,2584.0
62,131,0.3453276170297815,73.76335877862596,73.0,1.7251908396946565,4.145038167938932,2579.0
63,131,0.3461063252507873,74.8473282442748,74.0,1.7251908396946565,4.145038167938932,2577.0
64,131,0.34713859468889025,75.89312977099236,75.0,1.7251908396946565,4.145038167938932,2576.0
65,131,0.34809917981550587,76.90839694656489,76.0,1.7251908396946565,4.145038167938932,2583.0
66,131,0.3489146821555823,77.9618320610687,77.0,1.7251908396946565,4.145038167938932,2581.0
67,130,0.3447001114827202,79.61538461538461,78.0,1.7153846153846153,4.1461538461538465,2582.0
68,130,0.3454320045775319,80.66153846153846,79.5,1.7153846153846153,4.1461538461538465,2593.0
69,130,0.34572673703108486,81.73846153846154,81.0,1.7153846153846153,4.1461538461538465,2595.0
70,130,0.34654381829869296,82.84615384615384,82.0,1.7153846153846153,4.1461538461538465,2596.0
