tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
46,187,0.35855398411444905,48.19786096256684,47.0,1.6042780748663101,3.8609625668449197,2443.0
47,187,0.36077623954238014,49.11229946524064,48.0,1.6042780748663101,3.8609625668449197,2437.0
48,187,0.36264316555570747,49.98395721925134,49.0,1.6042780748663101,3.8609625668449197,2441.0
49,185,0.3571260560539518,51.42702702702703,50.0,1.5891891891891892,3.864864864864865,2442.0
50,184,0.35506610598499266,52.65217391304348,51.5,1.5815217391304348,3.858695652173913,2444.0
51,184,0.3562580774642607,53.57065217391305,52.5,1.5815217391304348,3.858695652173913,2450.0
52,184,0.3579471297063147,54.494565217391305,53.5,1.5815217391304348,3.858695652173913,2456.0
53,184,0.359497627644654,55.42934782608695,54.0,1.5815217391304348,3.858695652173913,2457.0
54,184,0.3610790712110663,56.33695652173913,55.0,1.5815217391304348,3.858695652173913,2456.0
55,183,0.35929480397160296,57.57377049180328,56.0,1.5792349726775956,3.8743169398907105,2449.0
56,183,0.36084268853684925,58.459016393442624,57.0,1.5792349726775956,3.8743169398907105,2461.0
57,182,0.3584898320070734,59.752747252747255,58.0,1.5714285714285714,3.8626373626373627,2463.0
58,182,0.3594476460925972,60.72527472527472,59.0,1.5714285714285714,3.8626373626373627,2460.0
59,182,0.3604736318563831,61.67032967032967,60.0,1.5714285714285714,3.8626373626373627,2460.0
60,181,0.35829114804913165,62.94475138121547,61.0,1.5635359116022098,3.861878453038674,2466.0
61,181,0.359282341470875,63.86740331491713,62.0,1.5635359116022098,3.861878453038674,2477.0
62,180,0.35690030577565723,65.20555555555555,63.5,1.5555555555555556,3.8555555555555556,2475.0
63,180,0.3579335758932736,66.16666666666667,64.5,1.5555555555555556,3.8555555555555556,2473.0
64,180,0.35892200147167036,67.11111111111111,65.0,1.5555555555555556,3.8555555555555556,2475.0
65,180,0.35990505726488753,68.07222222222222,66.0,1.5555555555555556,3.8555555555555556,2479.0
66,179,0.35747537633872123,69.43575418994413,67.0,1.553072625698324,3.8715083798882683,2477.0
67,179,0.35854007506706215,70.41340782122904,68.0,1.553072625698324,3.8715083798882683,2476.0
68,179,0.35946442153854224,71.39664804469274,69.0,1.553072625698324,3.8715083798882683,2475.0
69,179,0.3601739277416818,72.37988826815642,70.0,1.553072625698324,3.8715083798882683,2470.0
70,179,0.36097947497608424,73.34078212290503,71.0,1.553072625698324,3.8715083798882683,2474.0
71,178,0.35841514341571346,74.74719101123596,72.0,1.5449438202247192,3.8764044943820224,2475.0
72,177,0.3556796060990307,76.19774011299435,73.0,1.5423728813559323,3.8926553672316384,2469.0
73,177,0.35628993749785465,77.18079096045197,75.0,1.5423728813559323,3.8926553672316384,2470.0
74,177,0.35706427053954515,78.15819209039547,76.0,1.5423728813559323,3.8926553672316384,2473.0
75,177,0.3572584414102398,79.15819209039547,77.0,1.5423728813559323,3.8926553672316384,2477.0
76,177,0.35785206441784584,80.1864406779661,78.0,1.5423728813559323,3.8926553672316384,2466.0
77,177,0.35847215782873415,81.16949152542372,79.0,1.5423728813559323,3.8926553672316384,2466.0
78,177,0.3592362272105132,82.13559322033899,80.0,1.5423728813559323,3.8926553672316384,2477.0
79,177,0.36022890666543805,83.13559322033899,81.0,1.5423728813559323,3.8926553672316384,2482.0
80,176,0.3571123425446734,84.63636363636364,82.0,1.5340909090909092,3.8863636363636362,2479.0
81,176,0.3577246496538749,85.6590909090909,83.0,1.5340909090909092,3.8863636363636362,2478.0
82,176,0.35841409606320795,86.6875,84.0,1.5340909090909092,3.8863636363636362,2475.0
83,176,0.3588830457755813,87.6875,85.0,1.5340909090909092,3.8863636363636362,2476.0
84,176,0.35950813633160356,88.6875,86.0,1.5340909090909092,3.8863636363636362,2475.0
85,175,0.35633625371081024,90.19428571428571,87.0,1.5257142857142858,3.88,2483.0
86,175,0.35682141962272257,91.22285714285714,88.0,1.5257142857142858,3.88,2480.0
87,175,0.3572173882255052,92.22285714285714,89.0,1.5257142857142858,3.88,2481.0
88,175,0.35787132700591884,93.23428571428572,90.0,1.5257142857142858,3.88,2485.0
89,175,0.3582384011914864,94.27428571428571,91.0,1.5257142857142858,3.88,2483.0
90,175,0.35846497726241144,95.32,92.0,1.5257142857142858,3.88,2477.0
91,175,0.35898186748008815,96.34285714285714,93.0,1.5257142857142858,3.88,2474.0
